ticket_id,merchant_id,ticket_created_date,ticket_category,ticket_status,resolution_time_hours
S000092,M01485,2024-03-09,Fraud Complaint,Resolved,13
S000093,M02940,2024-05-21,API Integration,Pending,36
S000094,M00149,2025-07-01,Refund Request,Escalated,29
S000095,M02684,2025-02-18,Account Access,Pending,25
S000096,M00530,2025-05-28,Account Access,Pending,27
S000097,M02653,2025-02-27,API Integration,Resolved,33
S000098,M02739,2025-06-01,Account Access,Resolved,40
S000099,M02727,2024-06-20,Fraud Complaint,Escalated,24
S000100,M02937,2025-03-22,API Integration,Escalated,32
S000101,M01719,2024-06-04,Refund Request,Escalated,8
S000102,M02660,2025-01-23,Refund Request,Pending,12
S000103,M02002,2025-04-06,Account Access,Resolved,8
S000104,M01715,2025-01-09,Account Access,Resolved,31
S000105,M00439,2025-03-03,KYC Verification,Escalated,25
S000106,M02507,2025-04-14,KYC Verification,Resolved,33
S000107,M00134,2024-08-14,KYC Verification,Pending,32
S000108,M01418,2024-04-06,Fraud Complaint,Resolved,26
S000109,M01439,2024-08-28,Failed Payment,Escalated,14
S000110,M01877,2024-11-21,Fraud Complaint,Escalated,30
S000111,M01573,2024-01-22,Refund Request,Escalated,15
S000112,M01472,2024-11-07,API Integration,Pending,23
S000113,M01625,2025-01-29,Failed Payment,Resolved,30
S000114,M00906,2024-08-21,Account Access,Escalated,33
S000115,M02655,2024-12-08,Failed Payment,Pending,14
S000116,M01333,2024-12-09,Account Access,Pending,25
S000117,M02561,2025-02-21,Failed Payment,Pending,15
S000118,M00038,2025-02-22,Refund Request,Pending,16
S000119,M01337,2025-02-12,KYC Verification,Escalated,22
S000120,M02122,2024-06-21,Fraud Complaint,Escalated,24
S000121,M00116,2024-01-15,KYC Verification,Pending,30
S000122,M02067,2025-05-31,Account Access,Resolved,23
S000123,M02420,2024-03-18,API Integration,Pending,33
S000124,M00581,2025-03-08,Refund Request,Pending,27
S000125,M00035,2024-03-09,Fraud Complaint,Escalated,33
S000126,M01503,2025-04-30,API Integration,Resolved,34
S000127,M02829,2024-06-11,KYC Verification,Pending,29
S000128,M00032,2024-10-08,API Integration,Escalated,26
S000129,M00556,2025-03-07,API Integration,Resolved,17
S000130,M01020,2025-04-09,Account Access,Pending,18
S000131,M00415,2024-03-02,API Integration,Resolved,16
S000132,M01830,2025-02-28,Fraud Complaint,Escalated,23
S000133,M00040,2024-10-05,API Integration,Resolved,36
S000134,M00207,2024-07-18,KYC Verification,Pending,14
S000135,M01730,2025-04-18,API Integration,Pending,16
S000136,M00326,2024-07-30,Fraud Complaint,Escalated,19
S000137,M00465,2024-03-02,KYC Verification,Resolved,36
S000138,M00980,2024-02-18,Fraud Complaint,Pending,43
S000139,M00162,2024-02-22,Fraud Complaint,Pending,39
S000140,M02554,2024-04-22,API Integration,Escalated,35
S000141,M00132,2024-07-01,Failed Payment,Escalated,13
S000142,M00509,2025-05-05,Fraud Complaint,Escalated,21
S000143,M01213,2025-04-25,KYC Verification,Resolved,10
S000144,M02025,2024-08-27,Refund Request,Escalated,17
S000145,M00474,2025-02-12,Account Access,Pending,29
S000146,M01693,2024-09-22,Failed Payment,Pending,21
S000147,M02994,2025-04-23,Failed Payment,Escalated,32
S000148,M02435,2024-08-09,Failed Payment,Pending,43
S000149,M01689,2025-03-19,Fraud Complaint,Pending,30
S000150,M01329,2025-05-12,API Integration,Resolved,13
S000151,M02344,2024-06-14,Fraud Complaint,Resolved,18
S000152,M01748,2024-06-29,Account Access,Escalated,42
S000153,M01311,2025-02-08,Account Access,Escalated,13
S000154,M02790,2024-07-04,Account Access,Pending,27
S000155,M01012,2024-10-14,Account Access,Pending,29
S000156,M01864,2024-06-20,Account Access,Escalated,40
S000157,M00826,2024-06-13,API Integration,Pending,29
S000158,M00158,2025-06-21,KYC Verification,Pending,21
S000159,M01325,2024-12-27,Account Access,Escalated,5
S000160,M01109,2024-07-14,Account Access,Resolved,28
S000161,M00104,2024-12-11,KYC Verification,Escalated,18
S000162,M01573,2025-05-07,Failed Payment,Resolved,25
S000163,M02196,2025-04-06,Failed Payment,Pending,20
S000164,M02216,2025-06-11,Refund Request,Escalated,30
S000165,M02111,2024-12-29,Account Access,Pending,45
S000166,M01588,2024-10-05,Account Access,Pending,28
S000167,M00100,2024-07-17,Failed Payment,Escalated,27
S000168,M01315,2025-02-28,Refund Request,Escalated,25
S000169,M02377,2025-02-06,API Integration,Resolved,19
S000170,M02445,2024-07-27,Account Access,Pending,12
S000171,M00838,2024-05-01,Account Access,Pending,11
S000172,M02568,2024-11-12,Refund Request,Pending,15
S000173,M00162,2025-04-08,Failed Payment,Resolved,13
S000174,M02478,2024-07-29,Account Access,Pending,6
S000175,M02700,2025-03-22,Account Access,Pending,17
S000176,M00769,2024-05-12,API Integration,Resolved,13
S000177,M01201,2025-01-16,Account Access,Escalated,20
S000178,M00131,2024-05-02,Failed Payment,Pending,11
S000179,M02474,2024-07-01,KYC Verification,Pending,34
S000180,M01720,2024-08-20,Failed Payment,Escalated,26
S000181,M01891,2024-01-29,Failed Payment,Pending,39
S000182,M00916,2024-07-01,Account Access,Escalated,31
S000183,M02451,2025-05-02,Fraud Complaint,Escalated,26
S000184,M00658,2024-07-02,API Integration,Escalated,26
S000185,M00049,2024-01-16,Fraud Complaint,Pending,28
S000186,M01243,2024-03-05,API Integration,Resolved,6
S000187,M01629,2024-03-08,Fraud Complaint,Pending,25
S000188,M00049,2025-03-08,Fraud Complaint,Escalated,22
S000189,M00168,2024-12-27,Account Access,Resolved,24
S000190,M01489,2025-04-12,Fraud Complaint,Pending,26
S000191,M01310,2024-10-28,Refund Request,Pending,28
S000192,M01177,2025-02-23,API Integration,Pending,6
S000193,M02895,2025-03-09,Refund Request,Escalated,1
S000194,M00413,2024-06-15,Failed Payment,Escalated,22
S000195,M02785,2024-09-28,Fraud Complaint,Escalated,17
S000196,M01934,2025-03-22,Fraud Complaint,Pending,14
S000197,M01320,2024-10-11,API Integration,Resolved,22
S000198,M00962,2024-01-04,Refund Request,Pending,30
S000199,M02243,2024-10-13,KYC Verification,Resolved,24
S000200,M00424,2025-03-06,Failed Payment,Resolved,10
S000201,M00987,2024-02-24,API Integration,Pending,22
S000202,M01296,2024-04-29,Refund Request,Resolved,16
S000203,M02186,2024-10-09,Refund Request,Escalated,12
S000204,M02633,2024-09-23,Fraud Complaint,Pending,32
S000205,M00068,2024-05-16,KYC Verification,Pending,23
S000206,M00139,2024-04-17,Refund Request,Pending,19
S000207,M00904,2024-11-05,Account Access,Pending,31
S000208,M02755,2024-06-30,Fraud Complaint,Pending,38
S000209,M02522,2025-05-23,KYC Verification,Escalated,24
S000210,M00899,2024-02-26,Failed Payment,Resolved,46
S000211,M02909,2025-02-12,Refund Request,Escalated,34
S000212,M00130,2024-06-23,Fraud Complaint,Resolved,31
S000213,M02690,2025-05-20,API Integration,Pending,24
S000214,M00279,2024-01-12,Failed Payment,Resolved,26
S000215,M01773,2024-01-29,Account Access,Pending,13
S000216,M02486,2025-05-08,API Integration,Escalated,11
S000217,M01071,2024-10-05,API Integration,Pending,28
S000218,M01563,2024-12-10,Refund Request,Pending,42
S000219,M00420,2024-01-24,Fraud Complaint,Pending,17
S000220,M01139,2024-06-29,KYC Verification,Pending,2
S000221,M00979,2024-11-20,Account Access,Pending,17
S000222,M02862,2025-05-28,Account Access,Pending,25
S000223,M01826,2024-03-11,API Integration,Escalated,1
S000224,M01127,2024-11-24,Refund Request,Escalated,13
S000225,M02065,2024-05-30,Account Access,Resolved,36
S000226,M00214,2024-12-01,Refund Request,Escalated,17
S000227,M01013,2024-04-25,Account Access,Pending,28
S000228,M01575,2024-05-07,Failed Payment,Resolved,24
S000229,M00444,2024-01-31,Refund Request,Escalated,15
S000230,M00550,2024-07-04,KYC Verification,Escalated,11
S000231,M02049,2025-03-13,KYC Verification,Resolved,15
S000232,M01658,2025-06-09,Failed Payment,Resolved,23
S000233,M00965,2024-04-01,KYC Verification,Escalated,17
S000234,M02829,2024-04-16,Failed Payment,Resolved,21
S000235,M00217,2024-05-02,API Integration,Pending,27
S000236,M02141,2024-09-14,API Integration,Resolved,15
S000237,M01690,2024-08-01,Fraud Complaint,Pending,21
S000238,M00056,2024-07-03,KYC Verification,Pending,25
S000239,M02196,2025-04-02,KYC Verification,Escalated,28
S000240,M02087,2025-01-15,API Integration,Pending,14
S000241,M02584,2024-06-04,API Integration,Resolved,35
S000242,M02265,2024-12-11,KYC Verification,Pending,14
S000243,M00235,2024-02-21,Failed Payment,Escalated,9
S000244,M00645,2025-04-15,Failed Payment,Escalated,42
S000245,M00375,2025-02-26,KYC Verification,Escalated,8
S000246,M01059,2024-04-02,KYC Verification,Resolved,16
S000247,M01855,2025-05-07,Failed Payment,Escalated,15
S000248,M02752,2025-05-18,Refund Request,Escalated,27
S000249,M01471,2024-07-02,Fraud Complaint,Resolved,26
S000250,M01557,2024-02-01,Account Access,Pending,23
S000251,M01670,2024-04-28,Failed Payment,Escalated,15
S000252,M01920,2024-11-15,Account Access,Resolved,1
S000253,M02469,2024-04-21,Fraud Complaint,Resolved,50
S000254,M00932,2025-03-10,KYC Verification,Pending,7
S000255,M00003,2025-01-27,Failed Payment,Resolved,38
S000256,M01348,2024-04-07,Failed Payment,Pending,17
S000257,M01777,2024-03-31,API Integration,Escalated,20
S000258,M00243,2024-01-18,API Integration,Resolved,11
S000259,M02219,2024-06-18,Failed Payment,Escalated,24
S000260,M02514,2025-04-15,API Integration,Resolved,32
S000261,M02354,2024-11-12,Account Access,Pending,16
S000262,M00105,2025-06-14,Account Access,Escalated,38
S000263,M02508,2024-08-01,API Integration,Escalated,12
S000264,M02358,2025-06-10,Fraud Complaint,Resolved,29
S000265,M01323,2024-06-17,Fraud Complaint,Resolved,12
S000266,M02041,2024-09-08,Failed Payment,Resolved,20
S000267,M00898,2024-11-25,Fraud Complaint,Escalated,12
S000268,M02266,2025-05-24,Refund Request,Pending,19
S000269,M00546,2024-12-23,Fraud Complaint,Resolved,14
S000270,M00013,2024-04-19,Fraud Complaint,Resolved,11
S000271,M01119,2025-05-07,API Integration,Escalated,31
S000272,M01684,2024-06-28,Account Access,Escalated,31
S000273,M02540,2024-08-08,Fraud Complaint,Resolved,21
S000274,M02583,2024-11-09,Refund Request,Resolved,26
S000275,M02066,2024-09-05,Refund Request,Escalated,21
S000276,M01600,2024-11-05,Refund Request,Resolved,18
S000277,M01041,2025-07-04,Refund Request,Escalated,33
S000278,M01711,2024-08-19,Fraud Complaint,Pending,20
S000279,M00492,2025-04-02,KYC Verification,Escalated,1
S000280,M01580,2024-07-14,Account Access,Resolved,9
S000281,M00589,2024-05-20,Refund Request,Pending,28
S000282,M00991,2024-09-21,API Integration,Resolved,29
S000283,M02684,2025-05-25,Refund Request,Escalated,7
S000284,M01766,2024-05-23,Fraud Complaint,Escalated,15
S000285,M01467,2024-04-15,KYC Verification,Resolved,36
S000286,M02723,2024-10-02,Failed Payment,Resolved,42
S000287,M02876,2024-09-01,API Integration,Resolved,25
S000288,M02174,2024-03-29,Failed Payment,Pending,28
S000289,M02023,2024-02-08,Failed Payment,Escalated,27
S000290,M01973,2025-02-09,Fraud Complaint,Pending,17
S000291,M00294,2024-12-20,Refund Request,Pending,23
S000292,M02316,2024-10-26,KYC Verification,Pending,30
S000293,M00087,2025-04-14,Failed Payment,Resolved,30
S000294,M01126,2024-12-03,API Integration,Resolved,1
S000295,M00008,2024-05-25,Account Access,Pending,33
S000296,M01466,2024-03-27,KYC Verification,Pending,29
S000297,M00487,2025-06-29,Refund Request,Escalated,25
S000298,M02539,2024-01-05,Failed Payment,Escalated,32
S000299,M01571,2024-01-22,Fraud Complaint,Pending,26
S000300,M01456,2024-08-17,KYC Verification,Resolved,31
S000301,M02078,2024-08-04,KYC Verification,Escalated,20
S000302,M01911,2025-05-24,KYC Verification,Resolved,39
S000303,M01809,2024-08-20,KYC Verification,Pending,1
S000304,M02281,2024-11-10,Fraud Complaint,Resolved,37
S000305,M00925,2024-10-26,Account Access,Pending,26
S000306,M02489,2025-05-20,Refund Request,Pending,28
S000307,M01365,2024-05-19,Refund Request,Pending,18
S000308,M00896,2024-07-06,Account Access,Pending,25
S000309,M01264,2024-09-16,Fraud Complaint,Escalated,22
S000310,M00865,2024-05-04,API Integration,Pending,19
S000311,M00160,2025-06-04,Refund Request,Resolved,24
S000312,M00580,2025-03-20,Refund Request,Resolved,22
S000313,M00126,2025-04-01,API Integration,Resolved,30
S000314,M01616,2024-05-28,KYC Verification,Resolved,28
S000315,M01820,2024-03-12,Fraud Complaint,Resolved,39
S000316,M02726,2024-11-27,Failed Payment,Pending,21
S000317,M02980,2024-12-10,Account Access,Escalated,31
S000318,M02596,2024-06-30,Fraud Complaint,Resolved,22
S000319,M01312,2025-01-06,KYC Verification,Pending,14
S000320,M00542,2024-01-06,API Integration,Escalated,4
S000321,M00745,2024-03-03,API Integration,Resolved,25
S000322,M02081,2025-02-02,Refund Request,Resolved,25
S000323,M01285,2024-06-23,KYC Verification,Pending,20
S000324,M02792,2024-06-15,Fraud Complaint,Pending,18
S000325,M00296,2024-06-06,Fraud Complaint,Escalated,5
S000326,M02927,2024-09-28,Failed Payment,Resolved,28
S000327,M00377,2024-10-23,API Integration,Pending,22
S000328,M00322,2024-10-23,KYC Verification,Escalated,25
S000329,M00938,2024-09-30,Refund Request,Pending,26
S000330,M01691,2024-02-09,Failed Payment,Escalated,36
S000331,M01423,2024-05-08,Fraud Complaint,Pending,26
S000332,M02386,2025-04-13,Fraud Complaint,Resolved,9
S000333,M02311,2024-09-10,Refund Request,Resolved,18
S000334,M02612,2025-05-09,Refund Request,Escalated,25
S000335,M00376,2024-02-26,Failed Payment,Resolved,29
S000336,M02063,2025-05-24,Fraud Complaint,Pending,21
S000337,M00242,2024-04-19,Fraud Complaint,Pending,40
S000338,M01622,2025-06-21,Fraud Complaint,Resolved,26
S000339,M01440,2024-08-13,API Integration,Pending,33
S000340,M02108,2025-05-19,API Integration,Resolved,18
S000341,M00641,2024-01-29,KYC Verification,Escalated,14
S000342,M02613,2024-05-20,API Integration,Escalated,26
S000343,M01375,2024-07-06,API Integration,Pending,22
S000344,M02340,2024-04-25,Refund Request,Resolved,11
S000345,M02541,2025-01-08,API Integration,Pending,27
S000346,M02364,2025-05-15,KYC Verification,Pending,20
S000347,M01809,2024-04-10,Failed Payment,Pending,17
S000348,M01458,2024-05-07,KYC Verification,Resolved,26
S000349,M02198,2024-05-17,Refund Request,Resolved,12
S000350,M01243,2024-04-01,KYC Verification,Escalated,1
S000351,M02692,2024-04-03,API Integration,Escalated,23
S000352,M02719,2024-12-14,API Integration,Resolved,33
S000353,M02541,2024-04-07,Fraud Complaint,Escalated,25
S000354,M01161,2025-03-25,API Integration,Pending,24
S000355,M01007,2024-04-15,Refund Request,Escalated,21
S000356,M01514,2024-01-25,API Integration,Escalated,23
S000357,M00640,2024-09-28,Refund Request,Escalated,23
S000358,M00604,2024-07-01,Fraud Complaint,Pending,30
S000359,M02595,2024-07-04,KYC Verification,Resolved,19
S000360,M00704,2025-03-14,API Integration,Pending,21
S000361,M01127,2024-02-26,KYC Verification,Escalated,12
S000362,M02099,2024-10-02,KYC Verification,Pending,20
S000363,M02694,2024-07-12,Account Access,Pending,20
S000364,M00894,2024-11-06,Account Access,Pending,15
S000365,M01232,2024-01-18,API Integration,Resolved,18
S000366,M02848,2024-08-10,Refund Request,Resolved,42
S000367,M02327,2024-09-30,Failed Payment,Resolved,19
S000368,M02045,2025-01-31,Refund Request,Resolved,19
S000369,M00754,2024-03-02,Fraud Complaint,Resolved,29
S000370,M02082,2025-05-23,Fraud Complaint,Resolved,16
S000371,M02026,2024-11-17,Fraud Complaint,Escalated,24
S000372,M00277,2025-01-03,API Integration,Escalated,31
S000373,M02501,2025-04-30,API Integration,Escalated,12
S000374,M00225,2024-12-09,Refund Request,Resolved,25
S000375,M00021,2024-10-17,API Integration,Resolved,17
S000376,M01902,2025-05-16,API Integration,Pending,33
S000377,M02090,2024-11-27,Fraud Complaint,Pending,10
S000378,M00692,2024-12-19,KYC Verification,Escalated,18
S000379,M00347,2025-07-02,Fraud Complaint,Resolved,23
S000380,M00468,2024-09-08,Failed Payment,Escalated,18
S000381,M02711,2024-10-02,Failed Payment,Escalated,13
S000382,M01869,2024-07-22,Refund Request,Escalated,24
S000383,M01794,2024-01-18,API Integration,Pending,24
S000384,M02998,2024-05-04,Failed Payment,Pending,26
S000385,M01258,2024-01-06,Refund Request,Resolved,24
S000386,M00497,2024-08-08,Account Access,Escalated,22
S000387,M00331,2024-11-06,Fraud Complaint,Pending,28
S000388,M01238,2025-04-26,Failed Payment,Escalated,15
S000389,M02824,2024-03-29,Refund Request,Escalated,33
S000390,M01028,2025-03-26,Fraud Complaint,Pending,39
S000391,M01868,2024-12-09,Fraud Complaint,Escalated,19
S000392,M00363,2024-06-19,Fraud Complaint,Resolved,27
S000393,M00283,2024-08-13,API Integration,Pending,14
S000394,M00858,2025-04-23,API Integration,Resolved,20
S000395,M01340,2024-09-22,Failed Payment,Escalated,34
S000396,M00265,2024-01-31,KYC Verification,Escalated,9
S000397,M00631,2025-01-27,API Integration,Escalated,37
S000398,M01949,2024-06-09,Fraud Complaint,Resolved,21
S000399,M02787,2024-07-07,API Integration,Resolved,9
S000400,M02806,2025-03-02,Account Access,Resolved,31
S000401,M00889,2024-12-08,Refund Request,Pending,16
S000402,M01689,2025-04-26,Account Access,Pending,13
S000403,M00495,2024-06-07,Account Access,Resolved,50
S000404,M02357,2025-04-24,Fraud Complaint,Resolved,23
S000405,M00665,2025-06-08,API Integration,Pending,31
S000406,M00103,2024-02-27,Fraud Complaint,Resolved,7
S000407,M01822,2024-11-29,KYC Verification,Escalated,26
S000408,M02842,2024-10-08,API Integration,Pending,27
S000409,M00749,2025-02-20,Account Access,Pending,10
S000410,M01895,2024-02-11,Account Access,Escalated,24
S000411,M01345,2025-05-14,Failed Payment,Pending,3
S000412,M01043,2025-04-08,Fraud Complaint,Escalated,19
S000413,M00018,2025-05-02,API Integration,Resolved,33
S000414,M02381,2024-12-25,KYC Verification,Pending,25
S000415,M00739,2024-10-12,Failed Payment,Escalated,1
S000416,M02550,2024-01-18,API Integration,Pending,23
S000417,M02053,2024-10-22,Failed Payment,Escalated,23
S000418,M00419,2025-03-24,KYC Verification,Resolved,25
S000419,M02683,2024-09-13,Refund Request,Resolved,6
S000420,M02563,2024-11-10,KYC Verification,Pending,25
S000421,M00845,2024-05-31,KYC Verification,Resolved,27
S000422,M02198,2025-05-03,Failed Payment,Escalated,8
S000423,M01562,2024-01-23,KYC Verification,Resolved,20
S000424,M02233,2025-06-20,Refund Request,Pending,14
S000425,M00285,2024-05-03,Failed Payment,Escalated,24
S000426,M00185,2025-03-23,Account Access,Resolved,5
S000427,M02976,2025-04-18,Failed Payment,Escalated,35
S000428,M00914,2025-02-12,KYC Verification,Resolved,42
S000429,M02748,2024-10-30,Failed Payment,Escalated,23
S000430,M00592,2025-04-09,Account Access,Pending,47
S000431,M00539,2024-03-11,API Integration,Escalated,23
S000432,M01491,2024-12-18,Refund Request,Pending,33
S000433,M00754,2024-06-23,Failed Payment,Escalated,35
S000434,M00545,2025-06-07,Refund Request,Resolved,32
S000435,M00029,2024-07-16,Account Access,Pending,32
S000436,M02300,2024-06-01,Fraud Complaint,Escalated,5
S000437,M02011,2024-12-25,Failed Payment,Escalated,12
S000438,M00992,2024-11-13,Refund Request,Pending,20
S000439,M01497,2024-03-02,Refund Request,Pending,15
S000440,M01671,2024-04-13,API Integration,Escalated,30
S000441,M02804,2025-03-23,Fraud Complaint,Escalated,23
S000442,M01969,2024-06-28,Refund Request,Escalated,37
S000443,M01462,2025-03-06,Failed Payment,Resolved,13
S000444,M00669,2024-12-21,Failed Payment,Resolved,28
S000445,M01148,2024-03-07,Failed Payment,Escalated,22
S000446,M02489,2025-06-24,Failed Payment,Pending,18
S000447,M02943,2024-06-14,Account Access,Resolved,19
S000448,M02462,2025-04-28,Failed Payment,Escalated,46
S000449,M02509,2024-09-11,Account Access,Escalated,26
S000450,M01020,2025-06-20,Account Access,Resolved,1
S000451,M02305,2024-05-27,API Integration,Pending,36
S000452,M00944,2024-08-21,Account Access,Resolved,20
S000453,M02973,2024-07-17,Account Access,Resolved,19
S000454,M01908,2024-01-13,Failed Payment,Pending,21
S000455,M00760,2024-02-14,KYC Verification,Escalated,34
S000456,M01923,2025-04-06,API Integration,Resolved,18
S000457,M00502,2025-03-22,Fraud Complaint,Resolved,35
S000458,M02848,2024-03-28,Failed Payment,Resolved,18
S000459,M02092,2025-01-02,API Integration,Resolved,31
S000460,M02810,2025-06-20,API Integration,Escalated,41
S000461,M01159,2024-08-20,Failed Payment,Escalated,25
S000462,M02902,2024-09-16,Fraud Complaint,Resolved,10
S000463,M02957,2024-07-28,API Integration,Resolved,25
S000464,M00426,2025-05-26,Fraud Complaint,Resolved,26
S000465,M00919,2024-04-21,Refund Request,Resolved,17
S000466,M02873,2025-05-30,Account Access,Pending,38
S000467,M02569,2024-08-17,Fraud Complaint,Resolved,28
S000468,M01810,2024-03-16,KYC Verification,Resolved,42
S000469,M01282,2025-03-17,API Integration,Escalated,28
S000470,M00676,2025-01-06,API Integration,Escalated,15
S000471,M02871,2025-04-25,KYC Verification,Escalated,12
S000472,M00310,2024-12-13,Fraud Complaint,Escalated,20
S000473,M02457,2024-09-09,Fraud Complaint,Resolved,24
S000474,M01523,2024-06-08,Failed Payment,Pending,33
S000475,M00195,2024-04-13,Failed Payment,Escalated,33
S000476,M01668,2024-10-11,Account Access,Escalated,42
S000477,M00863,2024-11-29,KYC Verification,Pending,19
S000478,M02405,2024-07-15,API Integration,Resolved,8
S000479,M02601,2025-02-15,Account Access,Resolved,39
S000480,M02504,2025-04-03,Fraud Complaint,Escalated,6
S000481,M02721,2024-02-26,Fraud Complaint,Resolved,27
S000482,M02708,2025-03-25,Refund Request,Resolved,32
S000483,M02718,2025-03-04,Failed Payment,Escalated,36
S000484,M01239,2024-02-10,Refund Request,Pending,22
S000485,M01448,2025-06-27,Fraud Complaint,Pending,24
S000486,M01431,2025-02-21,KYC Verification,Pending,29
S000487,M01195,2024-12-15,Fraud Complaint,Resolved,23
S000488,M01145,2024-01-23,KYC Verification,Escalated,19
S000489,M01882,2025-04-22,Fraud Complaint,Resolved,30
S000490,M00601,2024-03-03,Fraud Complaint,Resolved,27
S000491,M00956,2024-07-24,KYC Verification,Escalated,33
S000492,M01693,2024-10-04,Refund Request,Pending,21
S000493,M00690,2024-01-31,API Integration,Escalated,24
