merchant_id,signup_date,industry,country,business_size,acquisition_channel,customer_acquisition_cost,kyc_completed,api_integrated,time_to_first_transaction_days
M00023,2024-02-16,E-commerce,Nigeria,SME,Referral,2556.87,1,1,3.0
M00024,2025-02-09,Hospitality,Nigeria,Mid-Market,Sales Team,4307.41,1,0,0.0
M00025,2024-11-01,Gaming,Kenya,Enterprise,Organic,4489.21,1,1,7.0
M00026,2024-12-14,SaaS,Kenya,Enterprise,Paid Ads,610.52,1,1,7.0
M00027,2024-02-27,Education,South Africa,SME,Sales Team,14596.0,1,1,8.0
M00028,2024-01-02,Education,Ghana,Enterprise,Organic,2359.17,1,0,4.0
M00029,2025-03-21,Education,Ghana,SME,Paid Ads,7240.43,0,1,
M00030,2025-01-25,Retail,Nigeria,Enterprise,Paid Ads,8437.17,1,1,12.0
M00031,2024-09-07,E-commerce,Nigeria,Mid-Market,Paid Ads,1374.12,1,0,16.0
M00032,2024-05-02,E-commerce,Ghana,Enterprise,Organic,3357.0,1,0,4.0
M00033,2024-02-13,Gaming,Nigeria,Enterprise,Referral,1478.36,1,1,5.0
M00034,2024-03-06,Gaming,Ghana,Mid-Market,Partnership,2494.46,1,1,17.0
M00035,2025-03-22,Hospitality,Ghana,Enterprise,Referral,667.17,1,1,11.0
M00036,2024-12-31,Education,South Africa,Enterprise,Paid Ads,826.3,1,0,9.0
M00037,2024-08-12,Gaming,Nigeria,SME,Referral,4022.84,1,0,15.0
M00038,2024-02-02,Healthcare,Nigeria,Enterprise,Partnership,3952.41,1,1,10.0
M00039,2024-04-27,Logistics,Nigeria,SME,Organic,10844.15,1,0,13.0
M00040,2024-04-27,SaaS,Nigeria,Mid-Market,Organic,1745.66,1,0,10.0
M00041,2024-09-20,Logistics,Kenya,Enterprise,Sales Team,5938.28,1,0,1.0
M00042,2024-04-19,Retail,South Africa,SME,Sales Team,6155.69,1,1,19.0
M00043,2025-02-17,Hospitality,Ghana,SME,Organic,2695.62,1,1,6.0
M00044,2024-12-03,Hospitality,Kenya,Mid-Market,Sales Team,3442.9,1,1,24.0
M00045,2024-08-27,E-commerce,Nigeria,SME,Sales Team,2991.31,0,0,
M00046,2025-01-07,Healthcare,Nigeria,SME,Referral,5633.57,1,1,7.0
M00047,2024-04-07,Gaming,Ghana,Mid-Market,Referral,1590.12,0,0,
M00048,2024-05-22,Gaming,Ghana,SME,Sales Team,5523.54,1,1,0.0
M00049,2025-02-17,SaaS,Nigeria,Enterprise,Partnership,3485.9,1,1,8.0
M00050,2025-03-04,E-commerce,Nigeria,SME,Referral,1419.71,1,0,1.0
M00051,2024-07-27,Gaming,South Africa,SME,Sales Team,4847.87,1,0,16.0
M00052,2025-04-07,E-commerce,Ghana,Mid-Market,Organic,3969.81,1,0,31.0
M00053,2024-07-18,Education,South Africa,Mid-Market,Sales Team,2230.62,1,1,9.0
M00054,2024-12-22,Gaming,Ghana,SME,Paid Ads,2373.49,1,1,8.0
M00055,2024-04-21,E-commerce,Nigeria,Enterprise,Paid Ads,3502.07,1,1,8.0
M00056,2024-01-30,E-commerce,South Africa,Enterprise,Partnership,14089.16,1,1,1.0
M00057,2024-03-21,E-commerce,Nigeria,SME,Organic,362.02,1,0,19.0
M00058,2024-10-31,SaaS,Ghana,Mid-Market,Organic,1711.26,1,1,9.0
M00059,2025-04-27,Logistics,Nigeria,Enterprise,Organic,10285.33,1,1,17.0
M00060,2024-08-02,Healthcare,Kenya,SME,Paid Ads,4405.49,1,0,10.0
M00061,2024-05-02,Education,South Africa,SME,Paid Ads,7791.2,1,1,17.0
M00062,2024-08-22,Healthcare,Nigeria,SME,Sales Team,2757.19,1,1,3.0
M00063,2024-11-14,SaaS,Nigeria,Enterprise,Referral,2722.81,1,1,19.0
M00064,2024-09-16,Education,Ghana,Mid-Market,Organic,3012.65,1,1,0.0
M00065,2025-03-26,Logistics,Kenya,Mid-Market,Referral,1387.08,1,0,5.0
M00066,2024-08-12,Education,Nigeria,Enterprise,Partnership,5299.07,1,1,10.0
M00067,2024-06-02,SaaS,Ghana,Mid-Market,Organic,406.68,1,1,8.0
M00068,2025-03-31,SaaS,Ghana,Mid-Market,Paid Ads,4112.76,0,0,
M00069,2024-11-05,Logistics,Kenya,SME,Paid Ads,1971.02,1,0,4.0
M00070,2024-09-15,Gaming,Kenya,SME,Organic,5903.45,1,0,5.0
M00071,2024-11-20,Hospitality,Kenya,SME,Organic,520.3,1,0,11.0
M00072,2024-06-19,Retail,Kenya,SME,Sales Team,2802.28,1,0,0.0
M00073,2024-10-09,Hospitality,Nigeria,SME,Organic,3364.79,1,1,14.0
M00074,2025-04-28,Retail,Nigeria,Mid-Market,Partnership,4242.34,1,0,13.0
M00075,2024-10-09,Retail,South Africa,SME,Organic,517.03,1,1,7.0
M00076,2024-06-06,Healthcare,Nigeria,Mid-Market,Referral,5218.44,1,0,5.0
M00077,2024-12-15,Logistics,Nigeria,Mid-Market,Partnership,10312.59,1,1,11.0
M00078,2025-03-28,Hospitality,Ghana,SME,Referral,8212.25,1,1,11.0
M00079,2025-05-14,Retail,South Africa,SME,Referral,3969.1,1,0,5.0
M00080,2025-01-12,Healthcare,South Africa,Enterprise,Referral,7290.48,0,1,
M00081,2024-05-16,Retail,Nigeria,Mid-Market,Organic,2246.43,0,0,
M00082,2025-03-15,Gaming,Ghana,SME,Sales Team,9252.53,1,0,0.0
M00083,2024-06-28,Education,Ghana,SME,Organic,2642.19,1,1,7.0
M00084,2024-12-03,Logistics,South Africa,Mid-Market,Paid Ads,5746.13,1,1,15.0
M00085,2025-03-18,SaaS,Kenya,Mid-Market,Partnership,5451.67,0,1,
M00086,2024-07-23,Healthcare,Nigeria,SME,Paid Ads,2401.0,0,1,
M00087,2024-04-01,Education,Nigeria,SME,Partnership,3365.95,1,0,9.0
M00088,2024-08-10,Healthcare,Kenya,Mid-Market,Partnership,4496.07,1,0,21.0
M00089,2024-09-18,SaaS,South Africa,Enterprise,Referral,3829.48,1,1,13.0
M00090,2024-05-10,E-commerce,South Africa,SME,Partnership,6543.0,1,0,7.0
M00091,2025-04-18,Logistics,Kenya,Mid-Market,Organic,2151.78,1,1,0.0
M00092,2025-04-30,Healthcare,Kenya,Enterprise,Organic,4359.57,1,0,0.0
M00093,2025-01-03,Education,Kenya,Enterprise,Sales Team,10650.78,1,1,0.0
M00094,2024-06-16,Hospitality,Kenya,Enterprise,Referral,2656.45,1,1,7.0
M00095,2024-04-08,Hospitality,South Africa,Enterprise,Referral,8193.39,0,1,
M00096,2024-11-11,Education,South Africa,Enterprise,Organic,2012.9,1,1,0.0
M00097,2024-06-04,Education,Ghana,Mid-Market,Partnership,4206.93,1,0,17.0
M00098,2024-11-06,Healthcare,South Africa,Mid-Market,Sales Team,2979.06,1,1,1.0
M00099,2024-12-11,Logistics,South Africa,Enterprise,Referral,9107.14,1,1,14.0
M00100,2024-12-03,SaaS,Kenya,Enterprise,Partnership,3641.01,1,0,17.0
M00101,2024-06-20,SaaS,Ghana,Enterprise,Paid Ads,3780.82,1,1,14.0
M00102,2024-04-25,Logistics,Ghana,SME,Organic,8262.99,1,1,11.0
M00103,2024-05-05,Gaming,Nigeria,Mid-Market,Sales Team,8626.22,1,1,0.0
M00104,2025-03-29,Logistics,South Africa,Mid-Market,Sales Team,8911.68,0,1,
M00105,2024-05-04,Retail,Nigeria,SME,Sales Team,3295.48,1,0,8.0
M00106,2024-04-22,Retail,South Africa,SME,Partnership,337.73,1,0,12.0
M00107,2024-05-07,SaaS,South Africa,SME,Sales Team,1221.79,1,1,7.0
M00108,2024-12-07,Healthcare,South Africa,Enterprise,Partnership,1381.01,1,1,10.0
M00109,2024-08-06,Gaming,Ghana,Enterprise,Sales Team,1639.96,1,1,11.0
M00110,2024-08-18,Education,Ghana,Enterprise,Paid Ads,2098.43,1,1,4.0
M00111,2025-01-27,Gaming,Ghana,Mid-Market,Sales Team,4846.35,1,1,0.0
M00112,2024-02-09,Education,Ghana,Mid-Market,Paid Ads,3051.63,1,0,15.0
M00113,2024-06-12,SaaS,Ghana,SME,Referral,2110.53,1,1,6.0
M00114,2024-07-15,Retail,Ghana,SME,Sales Team,9639.96,1,1,0.0
M00115,2024-07-27,Healthcare,South Africa,Mid-Market,Organic,3407.78,1,0,6.0
M00116,2024-04-15,Hospitality,South Africa,Enterprise,Organic,668.08,1,1,13.0
M00117,2025-03-14,Hospitality,South Africa,SME,Paid Ads,1275.44,1,1,9.0
M00118,2024-06-01,Hospitality,South Africa,Enterprise,Partnership,9862.69,1,0,4.0
M00119,2025-02-13,Logistics,South Africa,SME,Paid Ads,13990.13,1,1,13.0
M00120,2024-08-11,Gaming,Nigeria,Mid-Market,Paid Ads,1545.11,1,1,14.0
M00121,2024-12-08,Hospitality,Ghana,Mid-Market,Referral,3405.34,1,1,0.0
M00122,2024-11-14,E-commerce,South Africa,Enterprise,Partnership,1919.8,1,1,8.0
M00123,2024-12-05,E-commerce,Nigeria,Enterprise,Sales Team,5431.98,1,1,5.0
M00124,2024-03-10,Gaming,Ghana,SME,Paid Ads,4090.78,1,0,9.0
M00125,2024-07-13,Healthcare,Ghana,Mid-Market,Paid Ads,5674.14,1,0,8.0
M00126,2024-06-21,Hospitality,Kenya,Mid-Market,Paid Ads,1357.73,1,0,4.0
M00127,2025-03-03,SaaS,South Africa,SME,Partnership,1501.16,1,1,9.0
M00128,2024-01-27,Healthcare,Ghana,Enterprise,Organic,664.06,1,1,24.0
M00129,2025-02-03,E-commerce,Nigeria,SME,Referral,2054.66,1,1,14.0
M00130,2025-03-05,E-commerce,Ghana,SME,Referral,14393.8,1,0,3.0
M00131,2024-08-30,SaaS,Ghana,Mid-Market,Paid Ads,2004.41,1,0,10.0
M00132,2025-01-27,Healthcare,Ghana,Enterprise,Partnership,9304.14,1,1,10.0
M00133,2025-05-08,SaaS,Ghana,Mid-Market,Organic,2336.57,1,0,5.0
M00134,2024-10-23,E-commerce,Kenya,Enterprise,Sales Team,4354.33,1,0,0.0
M00135,2024-07-22,Logistics,Nigeria,Enterprise,Referral,1349.18,1,0,0.0
M00136,2024-02-22,Education,Nigeria,Enterprise,Organic,3374.96,1,0,0.0
M00137,2024-06-26,Hospitality,Kenya,SME,Partnership,5746.14,1,1,9.0
M00138,2024-11-27,Healthcare,Nigeria,Mid-Market,Sales Team,1546.37,0,1,
M00139,2024-02-24,Hospitality,Kenya,Enterprise,Sales Team,3825.31,1,1,5.0
M00140,2024-12-28,Retail,South Africa,SME,Partnership,8948.61,1,1,9.0
M00141,2025-05-09,Education,South Africa,Mid-Market,Sales Team,2683.95,1,0,10.0
M00142,2025-02-26,Education,Kenya,SME,Organic,6492.7,1,1,2.0
M00143,2024-05-22,Gaming,Ghana,Mid-Market,Partnership,1708.0,1,1,13.0
M00144,2024-11-08,Hospitality,Kenya,SME,Sales Team,1041.79,0,1,
M00145,2025-03-11,Healthcare,Ghana,Mid-Market,Referral,1190.01,1,0,9.0
M00146,2024-06-30,Education,Kenya,Mid-Market,Partnership,5101.5,1,1,18.0
M00147,2024-12-25,Education,Nigeria,Enterprise,Referral,8153.7,1,1,19.0
M00148,2024-02-13,Logistics,South Africa,Mid-Market,Partnership,5784.11,1,0,7.0
M00149,2025-01-23,Logistics,South Africa,Enterprise,Sales Team,3479.29,0,0,
M00150,2024-08-17,E-commerce,Nigeria,Mid-Market,Referral,6933.81,1,1,14.0
M00151,2024-07-26,Logistics,Kenya,Enterprise,Partnership,5942.5,1,1,4.0
M00152,2024-07-07,Gaming,Kenya,Mid-Market,Partnership,764.02,1,0,8.0
M00153,2024-06-18,Healthcare,South Africa,Mid-Market,Paid Ads,3195.1,1,1,6.0
M00154,2024-05-08,Logistics,Nigeria,Enterprise,Referral,1214.83,1,1,6.0
M00155,2024-06-10,SaaS,Ghana,SME,Referral,1872.08,0,1,
M00156,2025-01-13,Gaming,Kenya,Enterprise,Partnership,2060.7,1,0,8.0
M00157,2025-05-15,Education,Nigeria,SME,Paid Ads,8357.7,1,1,4.0
M00158,2024-04-26,Healthcare,Ghana,Mid-Market,Organic,2524.5,1,1,0.0
M00159,2024-12-28,Retail,Kenya,SME,Organic,2463.32,0,1,
M00160,2024-10-10,Education,Ghana,Enterprise,Sales Team,7812.34,1,1,13.0
M00161,2024-02-22,E-commerce,Kenya,Mid-Market,Sales Team,3007.98,1,1,8.0
M00162,2024-08-13,Healthcare,Ghana,SME,Paid Ads,2456.19,1,1,6.0
M00163,2025-04-26,Gaming,Nigeria,SME,Sales Team,1350.59,1,0,17.0
M00164,2024-09-08,SaaS,Nigeria,SME,Referral,1034.13,1,0,9.0
M00165,2025-02-19,Education,Nigeria,SME,Organic,1638.67,1,0,0.0
M00166,2024-10-12,Hospitality,Ghana,Enterprise,Sales Team,10227.1,1,1,0.0
M00167,2024-08-18,Gaming,Kenya,Enterprise,Sales Team,3254.04,1,1,13.0
M00168,2024-06-05,E-commerce,Nigeria,SME,Referral,580.5,1,1,9.0
M00169,2024-05-15,SaaS,Ghana,SME,Referral,3600.48,1,1,0.0
M00170,2024-10-09,SaaS,Ghana,SME,Sales Team,1391.59,1,0,9.0
M00171,2024-08-18,Gaming,Kenya,SME,Referral,4887.38,1,0,5.0
M00172,2024-05-27,Education,South Africa,SME,Referral,6568.87,1,0,9.0
M00173,2025-04-18,Education,Ghana,Mid-Market,Organic,5879.79,1,1,7.0
M00174,2024-10-05,Logistics,Ghana,Mid-Market,Referral,1788.67,1,1,11.0
M00175,2024-02-06,E-commerce,Ghana,Mid-Market,Partnership,1667.57,1,1,0.0
M00176,2025-01-18,Education,South Africa,SME,Sales Team,15796.36,1,1,2.0
M00177,2024-12-18,Education,South Africa,Mid-Market,Partnership,5161.02,0,0,
M00178,2024-10-03,Gaming,South Africa,SME,Partnership,7268.4,1,1,0.0
M00179,2024-01-21,Hospitality,Kenya,Enterprise,Paid Ads,11475.36,1,0,3.0
M00180,2024-01-14,SaaS,Ghana,Enterprise,Partnership,5247.34,1,0,7.0
M00181,2024-10-27,E-commerce,Kenya,Enterprise,Organic,955.47,1,1,13.0
M00182,2025-01-25,Retail,South Africa,Enterprise,Sales Team,4997.68,1,0,6.0
M00183,2025-04-14,Education,Ghana,Enterprise,Sales Team,3186.05,1,1,14.0
M00184,2024-11-21,Gaming,Nigeria,Mid-Market,Paid Ads,3691.01,1,0,12.0
M00185,2024-07-28,Healthcare,Kenya,Enterprise,Organic,5420.75,1,1,7.0
M00186,2025-03-15,Retail,Kenya,Mid-Market,Sales Team,4801.57,1,1,0.0
M00187,2024-05-27,Hospitality,Nigeria,Mid-Market,Organic,1515.93,1,0,15.0
M00188,2024-06-10,Education,Kenya,SME,Sales Team,6818.95,1,1,4.0
M00189,2025-03-18,E-commerce,South Africa,Mid-Market,Organic,6910.63,1,1,8.0
M00190,2024-04-06,Healthcare,South Africa,Enterprise,Sales Team,1861.79,1,0,15.0
M00191,2025-01-24,E-commerce,Ghana,Mid-Market,Partnership,8670.32,1,1,5.0
M00192,2024-03-08,Education,South Africa,Enterprise,Sales Team,1657.26,1,1,6.0
M00193,2024-03-03,E-commerce,Ghana,Enterprise,Referral,3975.38,1,1,7.0
M00194,2024-06-08,E-commerce,South Africa,SME,Referral,1623.79,1,1,7.0
M00195,2025-03-06,SaaS,South Africa,SME,Referral,4421.41,0,1,
M00196,2024-09-12,Education,Kenya,Mid-Market,Sales Team,4137.1,0,1,
M00197,2024-08-29,Logistics,South Africa,Enterprise,Referral,4982.77,1,1,22.0
M00198,2024-07-15,Logistics,Ghana,SME,Paid Ads,8510.74,1,0,4.0
M00199,2025-01-30,Hospitality,Kenya,Enterprise,Paid Ads,1823.91,1,0,4.0
M00200,2025-02-24,E-commerce,Kenya,Enterprise,Paid Ads,1988.26,1,1,3.0
M00201,2025-03-04,Gaming,Ghana,Mid-Market,Partnership,2429.16,0,0,
M00202,2024-09-04,Healthcare,Kenya,Enterprise,Partnership,1667.8,1,1,6.0
M00203,2024-07-12,Gaming,Kenya,SME,Referral,3312.01,1,0,2.0
M00204,2024-10-19,Hospitality,Ghana,Mid-Market,Organic,7439.57,1,1,7.0
M00205,2024-06-11,Gaming,South Africa,Mid-Market,Referral,1181.81,1,0,15.0
M00206,2024-09-10,E-commerce,Ghana,Enterprise,Partnership,7093.67,1,0,11.0
M00207,2024-06-18,SaaS,South Africa,SME,Partnership,6073.56,1,0,11.0
M00208,2025-04-11,Gaming,Nigeria,Enterprise,Referral,3726.68,1,0,6.0
M00209,2024-07-28,Retail,Nigeria,Mid-Market,Paid Ads,4477.76,1,1,10.0
M00210,2024-06-22,Hospitality,Nigeria,Mid-Market,Partnership,3454.68,1,1,9.0
M00211,2024-07-13,Healthcare,South Africa,Enterprise,Organic,3915.91,1,1,16.0
M00212,2024-11-12,SaaS,Ghana,Enterprise,Paid Ads,4106.91,1,1,7.0
M00213,2024-04-26,SaaS,South Africa,SME,Organic,3807.45,0,1,
M00214,2024-08-15,Retail,Kenya,SME,Organic,3688.58,1,0,10.0
M00215,2024-06-15,E-commerce,Kenya,Mid-Market,Paid Ads,4373.87,1,1,3.0
M00216,2024-08-08,Retail,Ghana,Enterprise,Sales Team,9229.56,1,1,4.0
M00217,2024-10-16,Retail,Ghana,SME,Organic,1059.47,1,1,7.0
M00218,2024-11-08,Hospitality,Ghana,Mid-Market,Partnership,4003.28,1,1,6.0
M00219,2024-03-14,Logistics,South Africa,Enterprise,Paid Ads,2791.41,1,0,4.0
M00220,2024-08-23,Education,Nigeria,Mid-Market,Paid Ads,1846.99,1,1,1.0
M00221,2024-12-12,Retail,Nigeria,Mid-Market,Paid Ads,8623.43,1,1,0.0
M00222,2024-10-27,Education,South Africa,Enterprise,Paid Ads,2773.92,1,0,9.0
M00223,2024-08-21,Education,Ghana,Mid-Market,Sales Team,8077.69,1,0,11.0
M00224,2024-02-24,Logistics,South Africa,Enterprise,Paid Ads,4769.93,1,0,15.0
M00225,2024-10-21,Education,Kenya,SME,Sales Team,10480.75,1,1,3.0
M00226,2024-05-20,E-commerce,Nigeria,Enterprise,Sales Team,5014.31,1,1,0.0
M00227,2025-03-02,Education,Ghana,Enterprise,Paid Ads,174.6,1,1,5.0
M00228,2024-04-22,Logistics,Kenya,Enterprise,Referral,4728.96,1,0,10.0
M00229,2024-11-17,SaaS,Nigeria,Mid-Market,Sales Team,1147.81,1,1,7.0
M00230,2024-01-18,Healthcare,Ghana,SME,Paid Ads,3431.52,1,1,2.0
M00231,2024-06-16,Hospitality,Ghana,SME,Referral,2658.94,1,1,1.0
M00232,2025-02-06,Healthcare,Kenya,SME,Paid Ads,2311.34,1,0,5.0
M00233,2025-04-12,Gaming,Kenya,Enterprise,Paid Ads,1926.43,1,0,8.0
M00234,2025-02-15,SaaS,South Africa,SME,Referral,7009.88,1,0,4.0
M00235,2025-01-21,Logistics,South Africa,Enterprise,Paid Ads,3870.01,1,0,15.0
M00236,2024-02-16,Hospitality,Nigeria,Mid-Market,Partnership,3889.86,1,1,5.0
M00237,2024-03-04,Gaming,Kenya,Enterprise,Paid Ads,4552.85,1,1,6.0
M00238,2024-10-26,Hospitality,Kenya,SME,Referral,7182.13,1,1,11.0
M00239,2024-08-29,E-commerce,Kenya,Enterprise,Referral,3652.96,1,0,8.0
M00240,2024-11-27,SaaS,South Africa,Enterprise,Paid Ads,3055.52,1,1,14.0
M00241,2024-11-28,Hospitality,Nigeria,SME,Organic,708.34,1,1,0.0
M00242,2025-04-29,E-commerce,Kenya,Mid-Market,Organic,2907.18,1,0,20.0
M00243,2024-02-19,Logistics,Ghana,Mid-Market,Sales Team,4907.15,1,0,13.0
M00244,2024-07-08,Hospitality,Ghana,Mid-Market,Organic,4778.54,1,1,0.0
M00245,2025-03-02,Gaming,South Africa,Mid-Market,Organic,4241.23,1,0,9.0
M00246,2024-12-19,Healthcare,Ghana,Mid-Market,Sales Team,5749.23,1,0,6.0
M00247,2025-05-01,Logistics,Kenya,SME,Paid Ads,4396.12,1,1,0.0
M00248,2024-10-05,Healthcare,Nigeria,Mid-Market,Paid Ads,2265.69,1,1,7.0
M00249,2024-04-07,SaaS,South Africa,SME,Referral,4033.62,1,1,10.0
M00250,2024-11-24,E-commerce,Nigeria,Mid-Market,Referral,4866.51,1,1,2.0
M00251,2024-03-05,Logistics,Nigeria,Enterprise,Referral,12084.65,1,0,6.0
M00252,2024-10-27,Logistics,Ghana,Mid-Market,Referral,4413.05,1,1,6.0
M00253,2025-02-07,E-commerce,Kenya,SME,Referral,3469.26,1,1,12.0
M00254,2024-10-03,Education,Ghana,SME,Organic,4630.28,1,1,6.0
M00255,2024-03-08,E-commerce,Kenya,SME,Partnership,4310.39,1,1,13.0
M00256,2024-06-14,E-commerce,Ghana,Mid-Market,Organic,4487.13,1,1,2.0
M00257,2024-03-05,Hospitality,Nigeria,Enterprise,Organic,1286.14,1,0,11.0
M00258,2024-08-31,Gaming,Kenya,Enterprise,Partnership,2927.66,1,0,14.0
M00259,2024-02-25,Gaming,Ghana,Enterprise,Organic,4367.25,1,0,8.0
M00260,2025-01-07,Education,South Africa,Enterprise,Organic,3510.67,1,0,5.0
M00261,2024-02-01,Gaming,South Africa,Mid-Market,Organic,1167.4,1,0,11.0
M00262,2024-09-08,Gaming,Nigeria,SME,Paid Ads,2723.23,1,1,14.0
M00263,2024-11-07,Retail,Nigeria,SME,Paid Ads,6493.65,1,0,6.0
M00264,2024-11-15,Healthcare,South Africa,Enterprise,Partnership,5257.79,1,0,12.0
M00265,2024-05-30,Gaming,South Africa,SME,Organic,3373.72,1,1,6.0
M00266,2025-03-12,Logistics,South Africa,Mid-Market,Referral,9163.72,1,1,2.0
M00267,2024-07-30,Healthcare,South Africa,Mid-Market,Sales Team,6679.57,1,1,17.0
M00268,2025-01-08,SaaS,Kenya,Mid-Market,Paid Ads,7168.32,1,1,8.0
M00269,2024-12-06,Education,Kenya,SME,Sales Team,634.23,1,1,0.0
M00270,2024-02-04,SaaS,Nigeria,SME,Sales Team,5050.9,1,1,12.0
M00271,2024-02-19,Healthcare,Ghana,Enterprise,Organic,5701.94,0,1,
M00272,2024-10-27,Healthcare,Nigeria,Mid-Market,Paid Ads,4113.35,0,1,
M00273,2025-03-23,Hospitality,Nigeria,Mid-Market,Partnership,3085.81,1,1,0.0
M00274,2024-06-08,Healthcare,Nigeria,Enterprise,Partnership,4466.54,1,0,0.0
M00275,2024-04-18,Retail,South Africa,SME,Organic,2786.32,1,1,2.0
M00276,2024-06-28,Healthcare,Nigeria,Mid-Market,Partnership,3940.83,1,1,19.0
M00277,2024-04-25,Hospitality,Nigeria,Enterprise,Paid Ads,4973.03,1,1,7.0
M00278,2024-01-15,Retail,Kenya,Enterprise,Paid Ads,3705.86,1,1,10.0
M00279,2025-04-16,Healthcare,Kenya,SME,Referral,1897.97,1,0,3.0
M00280,2025-03-21,Retail,South Africa,SME,Referral,5674.09,1,0,6.0
M00281,2025-01-14,E-commerce,Nigeria,Enterprise,Partnership,7704.36,1,1,6.0
M00282,2024-04-20,Hospitality,South Africa,Mid-Market,Paid Ads,1049.94,1,1,21.0
M00283,2024-03-21,Healthcare,Kenya,Enterprise,Paid Ads,3009.25,1,0,6.0
M00284,2025-02-01,SaaS,Nigeria,SME,Referral,4073.56,1,1,0.0
M00285,2025-01-21,E-commerce,Nigeria,Mid-Market,Sales Team,9609.33,1,1,3.0
M00286,2024-12-04,Hospitality,South Africa,Enterprise,Sales Team,2135.63,1,0,9.0
M00287,2024-07-31,Education,Ghana,Enterprise,Organic,1339.77,1,1,4.0
M00288,2024-06-25,Hospitality,Nigeria,Mid-Market,Partnership,3420.47,1,1,3.0
M00289,2024-09-06,Education,Nigeria,SME,Sales Team,5981.9,1,1,9.0
M00290,2024-11-02,E-commerce,Nigeria,SME,Paid Ads,11308.49,1,1,12.0
M00291,2025-04-29,Logistics,Ghana,Mid-Market,Paid Ads,3533.45,1,1,11.0
M00292,2024-06-16,SaaS,Nigeria,Mid-Market,Sales Team,3547.62,1,1,2.0
M00293,2024-03-30,Retail,South Africa,Enterprise,Referral,5166.46,1,1,14.0
M00294,2024-09-13,Healthcare,Nigeria,Mid-Market,Organic,5780.4,1,1,8.0
M00295,2024-08-11,E-commerce,South Africa,SME,Paid Ads,2597.21,1,1,9.0
M00296,2024-10-21,Hospitality,South Africa,Enterprise,Sales Team,1523.37,1,0,1.0
M00297,2024-05-28,SaaS,South Africa,SME,Paid Ads,4824.52,1,0,0.0
M00298,2024-03-28,Gaming,Kenya,SME,Sales Team,3414.72,1,1,13.0
M00299,2025-03-08,SaaS,Ghana,Mid-Market,Partnership,3549.11,0,0,
M00300,2024-07-24,SaaS,South Africa,Mid-Market,Paid Ads,5027.0,1,0,7.0
M00301,2024-04-23,Healthcare,Ghana,SME,Partnership,4919.35,1,1,11.0
M00302,2024-11-20,SaaS,Ghana,Mid-Market,Paid Ads,1510.05,0,1,
M00303,2025-01-07,Retail,Ghana,SME,Referral,5922.0,1,0,7.0
M00304,2024-05-11,Logistics,Ghana,Enterprise,Referral,3501.21,1,1,0.0
M00305,2025-01-24,SaaS,Ghana,Enterprise,Sales Team,4896.57,1,1,8.0
M00306,2024-08-25,Gaming,Kenya,Enterprise,Paid Ads,4149.34,1,1,0.0
M00307,2024-03-18,Gaming,Nigeria,Mid-Market,Sales Team,7574.29,1,1,17.0
M00308,2024-11-19,Education,Kenya,Enterprise,Organic,3174.16,1,0,3.0
M00309,2024-06-29,SaaS,Kenya,Mid-Market,Sales Team,2611.76,1,0,4.0
M00310,2024-01-20,E-commerce,Kenya,Mid-Market,Organic,6287.84,1,1,0.0
M00311,2024-11-26,SaaS,South Africa,Mid-Market,Partnership,2786.02,1,1,0.0
