transaction_id,merchant_id,transaction_date,payment_method,transaction_value_ngn,transaction_success,failure_reason,paystack_revenue_ngn,refund_flag,fraud_flag
T0000052,M01689,2024-05-03,Mobile Money,40567.72,1,,608.52,0,0
T0000053,M01039,2025-09-22,USSD,1576.96,1,,23.65,0,0
T0000054,M01444,2024-11-20,Mobile Money,29744.62,0,Bank Downtime,0.0,0,0
T0000055,M00196,2025-02-26,Mobile Money,8571.45,1,,128.57,0,0
T0000056,M02864,2024-11-28,USSD,49395.43,1,,740.93,0,0
T0000057,M00658,2024-05-30,QR,5634.5,1,,84.52,0,0
T0000058,M02242,2025-07-13,USSD,7391.86,1,,110.88,0,0
T0000059,M01644,2025-03-29,USSD,9509.71,1,,142.65,0,0
T0000060,M00705,2024-12-23,Card,6177.63,1,,92.66,0,0
T0000061,M01368,2024-08-24,QR,4272.63,1,,64.09,0,0
T0000062,M02205,2026-05-09,Bank Transfer,8027.69,1,,120.42,0,0
T0000063,M01297,2024-12-28,Card,263277.7,1,,3949.17,0,0
T0000064,M02958,2024-04-22,Mobile Money,20754.15,1,,311.31,0,0
T0000065,M01282,2025-08-23,Mobile Money,3098.25,1,,46.47,0,0
T0000066,M02620,2025-04-15,Mobile Money,24862.7,1,,372.94,0,0
T0000067,M00829,2024-07-21,Mobile Money,24658.72,1,,369.88,0,0
T0000068,M01437,2024-06-30,Mobile Money,57005.05,1,,855.08,0,0
T0000069,M01481,2025-10-10,Bank Transfer,5503.1,1,,82.55,0,0
T0000070,M00691,2024-07-23,Card,15350.36,1,,230.26,0,0
T0000071,M00457,2025-03-02,QR,89724.43,1,,1345.87,0,0
T0000072,M01272,2026-01-02,QR,11168.83,1,,167.53,0,0
T0000073,M01214,2025-08-29,QR,118604.48,1,,1779.07,0,0
T0000074,M02205,2025-07-26,Mobile Money,9393.42,1,,140.9,0,0
T0000075,M02534,2026-03-27,Card,13133.58,1,,197.0,0,0
T0000076,M00814,2025-04-10,Card,17512.9,1,,262.69,0,0
T0000077,M02915,2025-06-15,Mobile Money,10283.0,1,,154.25,0,0
T0000078,M01079,2024-05-22,USSD,16168.14,1,,242.52,0,0
T0000079,M02183,2025-04-09,Mobile Money,28793.9,1,,431.91,0,0
T0000080,M00545,2025-02-25,Card,31801.9,1,,477.03,0,0
T0000081,M01204,2025-04-15,QR,34545.67,1,,518.19,0,0
T0000082,M00337,2025-08-24,Bank Transfer,18114.48,1,,271.72,0,0
T0000083,M01813,2025-04-24,Bank Transfer,13068.3,1,,196.02,0,0
T0000084,M02245,2024-12-29,USSD,13479.18,1,,202.19,0,0
T0000085,M00108,2025-08-18,Bank Transfer,20701.54,1,,310.52,0,0
T0000086,M02848,2024-06-23,Bank Transfer,6949.91,1,,104.25,0,0
T0000087,M00926,2025-02-25,Bank Transfer,12709.65,1,,190.64,0,0
T0000088,M00596,2024-05-21,USSD,34166.95,1,,512.5,0,0
T0000089,M00999,2025-02-19,QR,14150.74,1,,212.26,0,0
T0000090,M01980,2024-12-30,Mobile Money,2350.88,1,,35.26,0,0
T0000091,M02279,2025-08-23,QR,18265.99,1,,273.99,0,0
T0000092,M00788,2025-06-05,Bank Transfer,80041.36,1,,1200.62,0,0
T0000093,M02125,2025-04-16,Mobile Money,5238.42,1,,78.58,0,0
T0000094,M02570,2025-07-25,Mobile Money,10650.03,1,,159.75,0,0
T0000095,M01072,2025-04-01,USSD,13494.17,1,,202.41,0,0
T0000096,M01080,2025-10-23,USSD,22010.78,1,,330.16,0,0
T0000097,M01494,2025-06-10,USSD,13390.8,1,,200.86,0,0
T0000098,M02214,2024-08-27,Card,33168.61,1,,497.53,0,0
T0000099,M02840,2024-09-14,USSD,15166.28,1,,227.49,0,0
T0000100,M02878,2024-08-05,QR,7074.68,1,,106.12,1,0
T0000101,M02372,2024-06-02,Card,12579.74,1,,188.7,0,0
T0000102,M02079,2025-03-31,Mobile Money,5445.84,1,,81.69,0,0
T0000103,M02193,2025-03-19,Card,14384.12,1,,215.76,0,0
T0000104,M02475,2025-03-18,USSD,5230.65,1,,78.46,1,0
T0000105,M02940,2025-10-30,QR,21045.78,1,,315.69,0,0
T0000106,M00918,2025-06-28,USSD,28119.64,1,,421.79,0,0
T0000107,M02353,2024-09-08,Mobile Money,16635.64,1,,249.53,0,0
T0000108,M02535,2025-12-08,Mobile Money,17063.54,1,,255.95,0,0
T0000109,M02421,2025-03-19,Card,29753.05,1,,446.3,0,0
T0000110,M00702,2025-05-14,QR,9123.69,1,,136.86,0,0
T0000111,M01837,2025-06-13,Card,7468.1,1,,112.02,0,0
T0000112,M01424,2024-11-06,Bank Transfer,1767.22,1,,26.51,0,0
T0000113,M00262,2025-08-24,USSD,4154.37,1,,62.32,0,0
T0000114,M00268,2026-01-12,USSD,5670.05,1,,85.05,0,0
T0000115,M02334,2024-08-13,Card,5205.68,1,,78.09,0,0
T0000116,M02923,2025-10-15,Mobile Money,15523.28,1,,232.85,0,0
T0000117,M01765,2026-03-08,Bank Transfer,36762.4,1,,551.44,0,0
T0000118,M01624,2025-06-18,Mobile Money,157577.33,1,,2363.66,0,0
T0000119,M01270,2025-11-05,USSD,9282.66,1,,139.24,0,0
T0000120,M01354,2025-05-10,QR,12237.32,1,,183.56,0,0
T0000121,M02081,2025-05-18,Bank Transfer,7603.71,1,,114.06,0,0
T0000122,M02211,2025-02-25,QR,26471.86,1,,397.08,0,0
T0000123,M01289,2024-03-12,QR,19944.91,1,,299.17,0,0
T0000124,M00217,2025-10-16,USSD,14567.94,1,,218.52,0,0
T0000125,M02407,2024-07-20,Card,21222.83,1,,318.34,0,0
T0000126,M02515,2025-03-27,QR,37184.4,1,,557.77,0,0
T0000127,M01695,2025-03-19,Bank Transfer,9926.67,1,,148.9,0,0
T0000128,M00798,2025-07-10,QR,10884.02,1,,163.26,0,0
T0000129,M00735,2025-03-01,Card,2070.7,1,,31.06,0,0
T0000130,M02660,2025-10-21,Card,8725.38,1,,130.88,0,0
T0000131,M01360,2024-03-31,Card,2708.52,1,,40.63,0,0
T0000132,M01653,2025-06-18,Mobile Money,10944.96,1,,164.17,0,0
T0000133,M01670,2024-10-06,Bank Transfer,15587.5,0,Card Declined,0.0,0,0
T0000134,M01407,2025-02-11,Card,5780.56,1,,86.71,0,0
T0000135,M01275,2025-10-21,Bank Transfer,55167.85,1,,827.52,0,0
T0000136,M02897,2025-04-07,USSD,22365.86,1,,335.49,0,0
T0000137,M02047,2024-12-15,Bank Transfer,9887.33,1,,148.31,0,0
T0000138,M01068,2025-05-13,Bank Transfer,76531.1,1,,1147.97,0,0
T0000139,M00929,2025-10-01,Card,17962.08,1,,269.43,0,0
T0000140,M01392,2025-11-26,Card,9405.35,1,,141.08,0,0
T0000141,M02146,2025-01-23,Card,3802.06,1,,57.03,0,0
T0000142,M02483,2024-06-22,QR,4123.55,1,,61.85,0,0
T0000143,M00243,2025-02-03,USSD,2308.67,1,,34.63,0,0
T0000144,M00392,2025-02-18,Card,3988.78,1,,59.83,0,0
T0000145,M02168,2024-11-25,Card,10510.48,1,,157.66,0,0
T0000146,M01339,2025-07-30,USSD,35388.69,1,,530.83,0,0
T0000147,M00114,2025-05-02,QR,4433.92,1,,66.51,0,0
T0000148,M01536,2024-06-30,Bank Transfer,16080.49,1,,241.21,0,0
T0000149,M00773,2024-12-13,QR,4036.91,1,,60.55,1,0
T0000150,M02041,2024-08-14,QR,3778.28,1,,56.67,0,0
T0000151,M00895,2024-08-18,Card,3001.32,1,,45.02,0,0
T0000152,M02799,2025-07-31,QR,43652.67,1,,654.79,0,0
T0000153,M01533,2024-12-23,Bank Transfer,12947.72,1,,194.22,0,0
T0000154,M01806,2025-12-20,Bank Transfer,17561.81,1,,263.43,0,0
T0000155,M02079,2024-06-18,Mobile Money,29861.4,1,,447.92,0,0
T0000156,M00125,2025-05-28,Card,14108.23,1,,211.62,0,0
T0000157,M02202,2024-05-12,USSD,4698.58,1,,70.48,0,0
T0000158,M01194,2025-06-23,USSD,12459.47,1,,186.89,0,0
T0000159,M02798,2025-02-21,QR,16102.37,1,,241.54,0,0
T0000160,M02124,2024-12-05,Card,51497.83,1,,772.47,0,0
T0000161,M02039,2025-06-29,QR,2189.0,1,,32.84,0,0
T0000162,M00636,2025-11-16,USSD,36508.93,1,,547.63,0,0
T0000163,M01863,2026-01-21,QR,123176.91,1,,1847.65,0,0
T0000164,M01593,2024-11-29,Card,6079.68,1,,91.2,0,0
T0000165,M02740,2025-10-03,Card,22523.45,1,,337.85,0,0
T0000166,M01386,2025-09-13,USSD,12574.52,1,,188.62,0,0
T0000167,M00580,2024-05-08,Mobile Money,4873.82,1,,73.11,0,0
T0000168,M00772,2025-11-23,Card,27872.24,1,,418.08,0,0
T0000169,M01468,2024-08-08,Mobile Money,13812.1,1,,207.18,0,0
T0000170,M02702,2025-03-14,QR,9672.88,1,,145.09,0,0
T0000171,M00405,2024-12-06,Card,31951.9,1,,479.28,0,0
T0000172,M02718,2025-10-26,USSD,10132.11,1,,151.98,0,0
T0000173,M02160,2025-02-19,QR,14239.5,1,,213.59,0,0
T0000174,M02877,2025-09-18,QR,2283.29,1,,34.25,0,0
T0000175,M01615,2026-04-16,QR,49299.25,1,,739.49,0,0
T0000176,M02635,2024-09-11,USSD,8022.03,1,,120.33,0,0
T0000177,M01313,2024-07-09,Mobile Money,85779.87,1,,1286.7,0,0
T0000178,M00812,2025-04-30,Mobile Money,22545.0,0,Card Declined,0.0,0,0
T0000179,M01783,2024-12-24,Card,36302.61,1,,544.54,0,0
T0000180,M02009,2024-04-18,Mobile Money,18566.94,1,,278.5,0,0
T0000181,M00428,2025-02-28,QR,13245.83,1,,198.69,0,0
T0000182,M01983,2025-12-04,Mobile Money,11990.35,1,,179.86,0,0
T0000183,M01253,2024-09-24,USSD,19344.86,1,,290.17,0,0
T0000184,M02802,2025-07-07,Card,1657.03,1,,24.86,0,0
T0000185,M02161,2024-01-23,Bank Transfer,6847.61,1,,102.71,1,0
T0000186,M00366,2024-12-12,QR,2008.39,1,,30.13,0,0
T0000187,M02340,2025-12-11,Bank Transfer,39612.99,1,,594.19,0,0
T0000188,M02626,2024-12-19,Card,5166.86,1,,77.5,0,0
T0000189,M02189,2024-06-14,USSD,7536.1,0,Insufficient Funds,0.0,0,1
T0000190,M01577,2025-06-11,USSD,2714.03,1,,40.71,0,0
T0000191,M02203,2024-02-07,Mobile Money,6215.81,1,,93.24,0,0
T0000192,M02083,2025-02-25,Bank Transfer,1217.1,1,,18.26,0,0
T0000193,M02084,2024-11-13,Card,76057.58,1,,1140.86,0,0
T0000194,M00879,2024-04-13,Mobile Money,20888.2,1,,313.32,0,0
T0000195,M00761,2024-07-20,USSD,26695.4,1,,400.43,0,0
T0000196,M00299,2026-03-09,Bank Transfer,21441.31,1,,321.62,0,0
T0000197,M02029,2024-11-06,QR,2148.96,1,,32.23,0,0
T0000198,M02624,2024-12-31,Card,46887.77,1,,703.32,0,0
T0000199,M00186,2025-09-27,Bank Transfer,54362.04,1,,815.43,0,0
T0000200,M02824,2024-05-07,USSD,17059.41,1,,255.89,0,0
T0000201,M00020,2024-11-22,USSD,26092.29,1,,391.38,0,0
T0000202,M00726,2024-12-24,USSD,43244.72,0,Network Timeout,0.0,0,0
T0000203,M01647,2024-03-23,Bank Transfer,1448.85,1,,21.73,0,0
T0000204,M00581,2025-11-20,Bank Transfer,18072.17,1,,271.08,0,0
T0000205,M02547,2025-09-07,USSD,2409.67,1,,36.15,0,0
T0000206,M01732,2025-06-07,QR,96590.72,1,,1448.86,0,0
T0000207,M02909,2025-08-30,USSD,29754.94,1,,446.32,0,0
T0000208,M00840,2025-12-08,USSD,28819.53,1,,432.29,0,0
T0000209,M01677,2025-02-05,Card,1490.02,1,,22.35,0,0
T0000210,M01704,2025-06-01,Mobile Money,21904.92,1,,328.57,0,0
T0000211,M01140,2024-07-14,Mobile Money,19633.92,1,,294.51,0,0
T0000212,M01039,2026-01-24,Card,724.32,1,,10.86,0,0
T0000213,M02567,2026-03-06,Mobile Money,6024.93,1,,90.37,0,0
T0000214,M00172,2025-05-19,Mobile Money,38651.01,1,,579.77,0,0
T0000215,M00528,2025-12-10,Bank Transfer,6281.67,1,,94.23,0,0
T0000216,M00289,2025-07-30,Card,26650.92,1,,399.76,0,0
T0000217,M00473,2024-05-01,Mobile Money,7702.79,1,,115.54,0,0
T0000218,M00273,2025-06-25,QR,66914.87,1,,1003.72,0,0
T0000219,M01341,2025-05-01,USSD,24151.41,1,,362.27,0,0
T0000220,M02789,2026-01-09,Mobile Money,2014.24,1,,30.21,0,0
T0000221,M01167,2025-11-02,USSD,30701.6,1,,460.52,0,1
T0000222,M01167,2025-11-19,USSD,15587.4,1,,233.81,1,0
T0000223,M00445,2025-07-21,Card,15486.26,1,,232.29,0,0
T0000224,M01618,2025-05-09,Card,54699.33,1,,820.49,0,0
T0000225,M02273,2024-12-12,Bank Transfer,4934.7,1,,74.02,0,0
T0000226,M00521,2025-10-03,Card,5966.82,1,,89.5,0,0
T0000227,M01921,2025-01-22,Card,5384.72,1,,80.77,0,0
T0000228,M00457,2025-03-22,Card,102363.53,1,,1535.45,0,0
T0000229,M01590,2024-08-03,Card,7131.55,1,,106.97,0,0
T0000230,M02842,2024-05-20,Bank Transfer,5516.37,1,,82.75,0,0
T0000231,M01786,2025-01-09,USSD,12422.97,1,,186.34,0,0
T0000232,M01795,2025-02-16,Bank Transfer,11873.96,1,,178.11,0,0
T0000233,M01811,2024-11-10,Card,5931.0,1,,88.97,1,0
T0000234,M02716,2025-03-02,Bank Transfer,6128.72,1,,91.93,0,0
T0000235,M00862,2025-03-06,USSD,21638.11,1,,324.57,0,0
T0000236,M00180,2024-11-01,Card,11789.23,1,,176.84,0,0
T0000237,M00626,2025-05-15,USSD,23145.43,1,,347.18,0,0
T0000238,M00719,2024-12-09,Mobile Money,51122.04,1,,766.83,0,0
T0000239,M00822,2026-02-12,Mobile Money,7421.71,0,Insufficient Funds,0.0,0,0
T0000240,M01557,2025-05-30,USSD,54416.71,1,,816.25,0,0
T0000241,M02071,2024-06-22,Bank Transfer,37182.89,1,,557.74,0,0
T0000242,M00754,2025-09-24,Bank Transfer,29869.0,1,,448.03,0,0
T0000243,M01376,2026-04-05,Mobile Money,11164.32,1,,167.46,0,0
T0000244,M00104,2025-11-10,Card,4063.04,1,,60.95,0,0
T0000245,M01007,2025-09-14,QR,884.19,1,,13.26,0,0
T0000246,M01179,2024-10-24,Bank Transfer,26114.45,1,,391.72,0,0
T0000247,M00588,2025-09-04,USSD,9670.0,1,,145.05,1,0
T0000248,M00233,2025-06-09,Card,11381.89,1,,170.73,0,0
T0000249,M01680,2025-12-31,QR,7607.7,1,,114.12,0,0
T0000250,M00072,2025-05-02,Bank Transfer,13346.98,1,,200.2,0,0
T0000251,M02966,2025-09-12,USSD,97823.0,1,,1467.35,0,0
T0000252,M00158,2024-07-09,Card,17587.63,1,,263.81,0,0
T0000253,M02803,2024-12-02,Mobile Money,5200.15,0,Insufficient Funds,0.0,0,0
T0000254,M00015,2025-01-31,Card,1696.91,1,,25.45,0,0
T0000255,M01588,2026-04-14,QR,25122.18,1,,376.83,0,0
T0000256,M00491,2024-05-29,Card,12645.83,1,,189.69,0,0
T0000257,M02309,2025-04-05,Card,11301.92,1,,169.53,0,0
T0000258,M00082,2026-02-11,QR,5297.93,0,Card Declined,0.0,0,0
T0000259,M02642,2025-02-12,USSD,5675.48,1,,85.13,0,0
T0000260,M02809,2025-03-31,Mobile Money,40459.61,1,,606.89,0,0
T0000261,M01842,2025-02-16,Bank Transfer,4900.42,1,,73.51,0,0
T0000262,M02798,2025-07-30,QR,19630.36,1,,294.46,0,0
T0000263,M01025,2025-10-07,Mobile Money,61795.43,1,,926.93,0,0
T0000264,M01963,2024-12-02,Mobile Money,688.05,1,,10.32,0,0
T0000265,M02198,2025-10-29,Bank Transfer,13659.28,1,,204.89,0,0
T0000266,M00592,2025-08-22,Bank Transfer,1791.29,1,,26.87,0,0
T0000267,M01592,2025-01-15,Bank Transfer,69164.78,1,,1037.47,0,0
T0000268,M01508,2025-10-06,Card,34597.33,1,,518.96,0,0
T0000269,M01769,2025-07-09,Bank Transfer,13258.73,1,,198.88,0,0
T0000270,M00175,2024-09-29,Mobile Money,5073.72,1,,76.11,0,0
T0000271,M02911,2024-12-26,Bank Transfer,115457.8,1,,1731.87,0,0
T0000272,M01648,2025-05-26,USSD,50882.73,1,,763.24,0,0
T0000273,M00853,2024-07-28,Mobile Money,12403.37,1,,186.05,0,0
T0000274,M01712,2024-12-14,Mobile Money,37418.27,1,,561.27,0,0
T0000275,M01819,2024-10-24,Mobile Money,10264.0,1,,153.96,0,0
T0000276,M01490,2025-01-20,Mobile Money,20510.09,0,Bank Downtime,0.0,0,0
T0000277,M00546,2026-02-03,QR,33098.1,1,,496.47,0,0
T0000278,M00844,2024-12-05,Bank Transfer,25247.63,1,,378.71,0,0
T0000279,M02919,2024-09-22,QR,17492.53,1,,262.39,0,0
T0000280,M00798,2026-03-13,QR,14841.7,1,,222.63,0,0
T0000281,M01489,2024-10-10,QR,35066.23,1,,525.99,0,0
T0000282,M01673,2025-09-10,USSD,124369.71,1,,1865.55,0,0
T0000283,M00875,2025-11-29,Bank Transfer,12451.58,1,,186.77,0,0
T0000284,M01927,2024-10-17,QR,14449.75,1,,216.75,0,0
T0000285,M02672,2025-10-23,USSD,12206.95,1,,183.1,0,0
T0000286,M02555,2025-09-13,Card,83533.38,1,,1253.0,0,0
T0000287,M00817,2024-12-19,USSD,1312.5,1,,19.69,0,0
T0000288,M02260,2024-08-30,Mobile Money,31328.12,1,,469.92,0,0
T0000289,M02120,2025-08-28,Bank Transfer,4596.77,1,,68.95,0,0
T0000290,M01815,2024-12-23,Bank Transfer,22774.04,1,,341.61,0,0
T0000291,M01581,2025-11-29,Bank Transfer,7869.7,1,,118.05,0,0
T0000292,M01120,2025-05-25,QR,12164.6,1,,182.47,0,0
T0000293,M00639,2024-11-29,Mobile Money,50136.82,1,,752.05,0,0
T0000294,M02356,2024-11-19,Bank Transfer,5611.07,1,,84.17,0,0
T0000295,M01685,2024-07-23,Bank Transfer,22076.96,0,Card Declined,0.0,0,0
T0000296,M00535,2025-08-07,Mobile Money,13971.61,1,,209.57,0,0
T0000297,M01296,2025-04-24,QR,32628.65,1,,489.43,0,0
T0000298,M02174,2026-04-23,Card,17257.39,1,,258.86,0,0
T0000299,M02770,2025-05-24,Card,51744.28,1,,776.16,0,0
T0000300,M00352,2024-10-06,Card,11478.55,1,,172.18,0,0
T0000301,M00217,2025-04-04,Card,15193.49,1,,227.9,0,0
T0000302,M01284,2025-05-11,Bank Transfer,7797.42,1,,116.96,0,0
T0000303,M00617,2024-10-16,USSD,23703.37,1,,355.55,0,0
T0000304,M00271,2024-08-23,QR,4497.33,1,,67.46,0,0
T0000305,M01293,2024-11-10,Mobile Money,4660.01,1,,69.9,0,0
T0000306,M01946,2025-02-05,Bank Transfer,17745.97,1,,266.19,1,0
T0000307,M01187,2025-10-18,Card,6045.84,1,,90.69,0,0
T0000308,M02302,2025-06-08,Bank Transfer,17724.58,1,,265.87,0,0
T0000309,M00669,2024-12-13,Card,66748.7,1,,1001.23,0,0
T0000310,M02181,2025-03-04,Bank Transfer,12629.36,0,Card Declined,0.0,0,0
T0000311,M02301,2024-10-17,Mobile Money,19872.4,1,,298.09,0,0
T0000312,M02867,2024-10-31,Bank Transfer,28741.4,1,,431.12,0,0
T0000313,M00465,2025-05-09,Bank Transfer,4155.82,1,,62.34,0,0
T0000314,M01823,2024-05-29,Card,16095.4,1,,241.43,0,0
T0000315,M00556,2025-01-12,Mobile Money,7533.2,0,Card Declined,0.0,0,0
T0000316,M01954,2024-05-22,Card,58155.63,1,,872.33,0,0
T0000317,M02401,2026-04-20,USSD,19335.19,1,,290.03,0,0
T0000318,M01807,2025-03-19,QR,5883.92,1,,88.26,0,0
T0000319,M00745,2024-09-11,Card,23268.5,1,,349.03,0,0
T0000320,M02015,2025-06-03,QR,2574.87,1,,38.62,0,0
T0000321,M01409,2025-11-05,Card,9445.89,1,,141.69,0,0
T0000322,M01516,2025-01-23,Bank Transfer,9586.22,1,,143.79,0,0
T0000323,M00553,2026-03-13,USSD,4961.57,1,,74.42,0,0
T0000324,M02775,2024-09-29,Bank Transfer,97939.43,1,,1469.09,0,0
T0000325,M00455,2026-04-02,Bank Transfer,33369.45,1,,500.54,0,0
T0000326,M02598,2025-08-31,USSD,19847.78,1,,297.72,0,0
T0000327,M02914,2024-03-12,USSD,4551.63,1,,68.27,0,0
T0000328,M02470,2024-11-28,Card,37446.64,1,,561.7,0,0
T0000329,M02548,2025-11-24,Mobile Money,41332.14,1,,619.98,0,0
T0000330,M00693,2025-06-29,USSD,20994.95,1,,314.92,1,0
T0000331,M00787,2026-01-31,USSD,46495.12,1,,697.43,0,0
T0000332,M02132,2024-03-05,Mobile Money,7928.14,1,,118.92,0,0
T0000333,M01305,2024-05-12,Card,50171.35,1,,752.57,0,0
T0000334,M02660,2025-06-12,USSD,5151.12,1,,77.27,0,0
T0000335,M01078,2024-12-22,Mobile Money,16562.57,1,,248.44,0,0
T0000336,M01383,2025-04-19,USSD,4773.28,1,,71.6,0,0
T0000337,M02690,2025-04-20,Card,128713.19,1,,1930.7,0,0
T0000338,M01364,2025-02-18,Bank Transfer,4003.1,0,Insufficient Funds,0.0,0,0
T0000339,M02557,2024-05-26,QR,2479.64,1,,37.19,0,0
T0000340,M00079,2025-10-16,Mobile Money,9655.91,1,,144.84,0,0
T0000341,M00818,2025-09-23,Mobile Money,25856.12,1,,387.84,0,0
T0000342,M01591,2024-04-27,USSD,2342.76,1,,35.14,0,0
T0000343,M02855,2025-08-01,USSD,27427.25,1,,411.41,0,0
T0000344,M01503,2025-04-22,Mobile Money,3538.02,1,,53.07,0,0
T0000345,M01668,2025-07-12,USSD,3193.27,1,,47.9,1,0
T0000346,M00543,2024-10-28,USSD,26033.32,1,,390.5,0,0
T0000347,M02263,2024-09-04,Mobile Money,56567.8,1,,848.52,0,1
T0000348,M01154,2024-07-03,Mobile Money,8276.71,0,Insufficient Funds,0.0,0,0
T0000349,M02752,2024-11-19,USSD,1121.97,1,,16.83,0,0
T0000350,M02085,2025-01-31,Bank Transfer,7606.72,0,Insufficient Funds,0.0,0,0
T0000351,M00439,2025-03-13,Bank Transfer,4597.67,0,Insufficient Funds,0.0,0,0
T0000352,M01530,2024-08-09,Bank Transfer,11085.03,1,,166.28,0,0
T0000353,M02343,2024-11-10,Card,5083.19,1,,76.25,0,0
T0000354,M00309,2024-07-04,Card,7208.72,1,,108.13,0,0
T0000355,M01398,2025-04-02,Card,21982.89,1,,329.74,0,0
T0000356,M00640,2025-10-16,Mobile Money,70409.87,1,,1056.15,0,0
T0000357,M02585,2025-08-02,Card,127744.74,1,,1916.17,0,0
T0000358,M02510,2024-04-07,Card,9115.63,1,,136.73,0,0
T0000359,M02885,2024-07-01,Card,53918.05,0,Network Timeout,0.0,0,0
T0000360,M00761,2024-05-14,Card,3936.45,1,,59.05,0,0
T0000361,M00016,2025-05-10,Bank Transfer,12751.36,1,,191.27,0,0
T0000362,M00862,2024-03-25,Card,39836.08,1,,597.54,1,0
T0000363,M01585,2024-10-29,QR,10096.96,1,,151.45,0,0
T0000364,M00790,2025-10-26,Bank Transfer,25287.19,1,,379.31,1,0
T0000365,M02901,2025-08-11,QR,6577.39,1,,98.66,0,0
T0000366,M02893,2024-12-15,Mobile Money,3116.32,1,,46.74,0,0
T0000367,M01180,2025-04-28,QR,3217.13,1,,48.26,0,0
T0000368,M00251,2024-10-18,Bank Transfer,59192.95,1,,887.89,0,0
T0000369,M02080,2025-02-17,Card,232539.58,1,,3488.09,0,0
